edge_index,u_lon,u_lat,v_lon,v_lat
6791,-122.4652305,37.7790557,-122.4663018,37.779007
6792,-122.4652305,37.7790557,-122.4650957,37.7771853
6793,-122.4652305,37.7790557,-122.4653648,37.7809187
6794,-122.4663018,37.779007,-122.4661649,37.7771368
6795,-122.4663018,37.779007,-122.4664372,37.7808701
6796,-122.4684431,37.7789094,-122.4683093,37.7770395
6797,-122.4684431,37.7789094,-122.4695124,37.7788608
6798,-122.4684431,37.7789094,-122.4685764,37.780773
6799,-122.4695124,37.7788608,-122.4693775,37.7769911
6800,-122.4695124,37.7788608,-122.4696468,37.7807245
6801,-122.4716588,37.7787631,-122.4715248,37.7768937
6802,-122.4716588,37.7787631,-122.4717925,37.7806268
6803,-122.4716588,37.7787631,-122.472121,37.778742
6804,-122.4722619,37.7787356,-122.472121,37.778742
6805,-122.4722619,37.7787356,-122.4721275,37.7768664
6806,-122.4722619,37.7787356,-122.4727268,37.7787144
6807,-122.4722619,37.7787356,-122.4723959,37.7805992
6808,-122.4727268,37.7787144,-122.4725925,37.7768453
6809,-122.4727268,37.7787144,-122.4728608,37.780578
6810,-122.4727268,37.7787144,-122.4738488,37.7786633
6811,-122.4738488,37.7786633,-122.4749732,37.7786121
6812,-122.4738488,37.7786633,-122.4737141,37.7767944
6813,-122.4738488,37.7786633,-122.4739831,37.7805268
6814,-122.4749732,37.7786121,-122.4760431,37.7785634
6815,-122.4749732,37.7786121,-122.4748383,37.7767434
6816,-122.4749732,37.7786121,-122.4751076,37.7804754
6817,-122.4760431,37.7785634,-122.4771155,37.7785146
6818,-122.4760431,37.7785634,-122.4759083,37.7766949
6819,-122.4760431,37.7785634,-122.4761775,37.7804265
6820,-122.4771155,37.7785146,-122.4781863,37.7784658
6821,-122.4771155,37.7785146,-122.476981,37.7766462
6822,-122.4771155,37.7785146,-122.4772497,37.7803775
6823,-122.4781863,37.7784658,-122.4792555,37.7784172
6824,-122.4781863,37.7784658,-122.4780513,37.7765976
6825,-122.4781863,37.7784658,-122.478321,37.7803286
6826,-122.4792555,37.7784172,-122.4803289,37.7783683
6827,-122.4792555,37.7784172,-122.4791209,37.7765492
6828,-122.4792555,37.7784172,-122.4793897,37.7802797
6829,-122.4803289,37.7783683,-122.4814007,37.7783195
6830,-122.4803289,37.7783683,-122.4801934,37.7765005
6831,-122.4803289,37.7783683,-122.480464,37.7802307
6832,-122.4814007,37.7783195,-122.4824714,37.7782707
6833,-122.4814007,37.7783195,-122.4812661,37.7764519
6834,-122.4814007,37.7783195,-122.4815349,37.7801818
6835,-122.4824714,37.7782707,-122.4823361,37.7764033
6836,-122.4824714,37.7782707,-122.4826063,37.7801329
6837,-122.4846124,37.7781732,-122.4856831,37.7781245
6838,-122.4846124,37.7781732,-122.4844774,37.7763062
6839,-122.4846124,37.7781732,-122.484747,37.780035
6840,-122.4856831,37.7781245,-122.4855484,37.7762576
6841,-122.4856831,37.7781245,-122.4858174,37.7799862
6842,-122.4888978,37.7779781,-122.4899693,37.7779293
6843,-122.4888978,37.7779781,-122.4887627,37.7761118
6844,-122.4888978,37.7779781,-122.4890327,37.7798393
6845,-122.4899693,37.7779293,-122.4898346,37.7760632
6846,-122.4899693,37.7779293,-122.4901037,37.7797904
6847,-122.493183,37.7777828,-122.4930478,37.7759173
6848,-122.493183,37.7777828,-122.4933185,37.779653
6849,-122.495325,37.7776851,-122.4951901,37.7758197
6850,-122.495325,37.7776851,-122.4954604,37.7795571
6851,-122.495325,37.7776851,-122.4963962,37.7776362
6852,-122.4963962,37.7776362,-122.4962615,37.7757708
6853,-122.4963962,37.7776362,-122.4965314,37.7795084
6854,-122.4985406,37.7775385,-122.4984047,37.7756728
6855,-122.4985406,37.7775385,-122.4986771,37.7794108
6856,-122.4985406,37.7775385,-122.4996111,37.7774897
6857,-122.4996111,37.7774897,-122.4994757,37.7756238
6858,-122.4996111,37.7774897,-122.4997466,37.7793569
6859,-122.4996111,37.7774897,-122.5006829,37.7774409
6860,-122.5006829,37.7774409,-122.5005474,37.7755755
6861,-122.5006829,37.7774409,-122.500817,37.7792878
6862,-122.5006829,37.7774409,-122.5017538,37.777392
6863,-122.5017538,37.777392,-122.5016184,37.7755264
6864,-122.5017538,37.777392,-122.5018898,37.7792669
6865,-122.5017538,37.777392,-122.5028244,37.7773432
6866,-122.5028244,37.7773432,-122.5026903,37.7754772
6867,-122.5028244,37.7773432,-122.5029592,37.7792177
6868,-122.504967,37.7772455,-122.5060385,37.7771967
6869,-122.504967,37.7772455,-122.5048322,37.7753789
6870,-122.504967,37.7772455,-122.5051058,37.7791671
6871,-122.5060385,37.7771967,-122.506178,37.7791193
6872,-122.5060385,37.7771967,-122.5071089,37.7771478
6873,-122.5060385,37.7771967,-122.5059031,37.7753299
6874,-122.5071089,37.7771478,-122.5070399,37.7762005
6875,-122.5071089,37.7771478,-122.5072489,37.7790715
6876,-122.5071089,37.7771478,-122.5081794,37.7770991
6877,-122.5081794,37.7770991,-122.50811,37.7761533
6878,-122.5081794,37.7770991,-122.5083196,37.7790239
6879,-122.5081794,37.7770991,-122.5092501,37.7770503
6880,-122.5092501,37.7770503,-122.5093885,37.7789763
6881,-122.5092501,37.7770503,-122.5091543,37.776143
6882,-122.4379126,37.7797692,-122.4387112,37.7796675
6883,-122.4379126,37.7797692,-122.437089,37.7798739
6884,-122.4653014,37.7129451,-122.465314,37.7142906
6885,-122.465314,37.7142906,-122.465325,37.716126
6886,-122.465314,37.7142906,-122.466219,37.714285
6887,-122.465314,37.7142906,-122.4644228,37.714297
6888,-122.465325,37.716126,-122.465346,37.7179189
6889,-122.465325,37.716126,-122.46622,37.7161203
6890,-122.465325,37.716126,-122.464425,37.7161316
6891,-122.465346,37.7179189,-122.466247,37.7179112
6892,-122.465346,37.7179189,-122.4644459,37.7179265
6893,-122.465391,37.7216754,-122.465564,37.7216744
6894,-122.465391,37.7216754,-122.464488,37.7216811
6895,-122.465564,37.7216744,-122.4662854,37.7216698
6896,-122.465564,37.7216744,-122.464675,37.723121
6897,-122.4642794,37.7252026,-122.4646346,37.7231886
6898,-122.4642794,37.7252026,-122.464272,37.7252206
6899,-122.4642794,37.7252026,-122.4643447,37.7252245
6900,-122.4642302,37.7260281,-122.4638469,37.7258799
6901,-122.4642302,37.7260281,-122.4645665,37.72615
6902,-122.4642302,37.7260281,-122.4642854,37.7252429
6903,-122.4642302,37.7260281,-122.4649501,37.7262857
6904,-122.4642302,37.7260281,-122.4638105,37.7259382
6905,-122.4652805,37.7107174,-122.4652895,37.7117149
6906,-122.4652805,37.7107174,-122.4661975,37.7106737
6907,-122.4652805,37.7107174,-122.4643682,37.7113813
6908,-122.407264,37.7619362,-122.407148,37.7619426
6909,-122.407264,37.7619362,-122.4082015,37.7618847
6910,-122.407018,37.7593689,-122.406899,37.7593761
6911,-122.407018,37.7593689,-122.4079405,37.7593101
6912,-122.4067798,37.7568389,-122.4066515,37.756846
6913,-122.4067798,37.7568389,-122.4067178,37.7561683
6914,-122.4067178,37.7561683,-122.4065951,37.7561757
6915,-122.4067178,37.7561683,-122.4076238,37.7561139
6916,-122.4067178,37.7561683,-122.406564,37.7545728
6917,-122.406564,37.7545728,-122.4074723,37.7545172
6918,-122.406564,37.7545728,-122.4065352,37.7542909
6919,-122.4064152,37.7542983,-122.4065352,37.7542909
6920,-122.4064152,37.7542983,-122.4065951,37.7561757
6921,-122.4064152,37.7542983,-122.405477,37.754356
6922,-122.4064152,37.7542983,-122.4062906,37.7530024
6923,-122.4079015,37.7692412,-122.4083342,37.7692104
6924,-122.4079015,37.7692412,-122.407482,37.7697
6925,-122.4079015,37.7692412,-122.406233,37.7694502
6926,-122.4079015,37.7692412,-122.4079497,37.7687935
6927,-122.4079015,37.7692412,-122.4078316,37.7685744
6928,-122.4079015,37.7692412,-122.4076796,37.7695675
6929,-122.4076907,37.7670817,-122.4088285,37.7676011
6930,-122.4076907,37.7670817,-122.4066978,37.7671441
6931,-122.4076907,37.7670817,-122.407568,37.7657809
6932,-122.407568,37.7657809,-122.407444,37.7644869
6933,-122.407568,37.7657809,-122.406567,37.7658452
6934,-122.407444,37.7644869,-122.4083779,37.7644314
6935,-122.407444,37.7644869,-122.4064438,37.7645469
6936,-122.4062906,37.7530024,-122.4064128,37.7529841
6937,-122.4062906,37.7530024,-122.4053461,37.7530682
6938,-122.4062037,37.7511079,-122.4062378,37.7513789
6939,-122.3998215,37.7181587,-122.400153,37.7205732
6940,-122.4474411,37.7593757,-122.4459212,37.7573522
6941,-122.4474411,37.7593757,-122.4470098,37.7601129
6942,-122.4474411,37.7593757,-122.4479433,37.7591358
6943,-122.4459212,37.7573522,-122.4449763,37.7572809
6944,-122.4459212,37.7573522,-122.4470098,37.7601129
6945,-122.4449763,37.7572809,-122.4433324,37.7563949
6946,-122.4449763,37.7572809,-122.4446876,37.7578613
6947,-122.4433324,37.7563949,-122.442931,37.755479
6948,-122.4433324,37.7563949,-122.4446876,37.7578613
6949,-122.4506613,37.7422331,-122.4505865,37.7419003
6950,-122.4506613,37.7422331,-122.4507656,37.7426011
6951,-122.4193124,37.7364566,-122.4201563,37.7361583
6952,-122.4201563,37.7361583,-122.4201702,37.7357847
6953,-122.4201563,37.7361583,-122.4209687,37.7365468
6954,-122.4209687,37.7365468,-122.4236498,37.7366816
6955,-122.4209218,37.737618,-122.4228527,37.7383994
6956,-122.4209218,37.737618,-122.4207476,37.7378482
6957,-122.4822935,37.7887596,-122.485295,37.7876159
6958,-122.4822935,37.7887596,-122.4810574,37.7922152
6959,-122.4810193,37.7923601,-122.4810574,37.7922152
6960,-122.4810193,37.7923601,-122.4807275,37.7933938
6961,-122.4807275,37.7933938,-122.47975,37.7931305
6962,-122.4807275,37.7933938,-122.4804229,37.7942988
6963,-122.4804229,37.7942988,-122.4792001,37.7941425
6964,-122.4804229,37.7942988,-122.4789311,37.7983096
6965,-122.4789311,37.7983096,-122.478497,37.7988051
6966,-122.4789311,37.7983096,-122.4787026,37.7988099
6967,-122.4757073,37.8039093,-122.4747009,37.8040665
6968,-122.4757073,37.8039093,-122.4787026,37.7988099
6969,-122.4757073,37.8039093,-122.4756609,37.8044147
6970,-122.4756609,37.8044147,-122.4747009,37.8040665
6971,-122.4526121,37.7992156,-122.4529092,37.7999402
6972,-122.4526121,37.7992156,-122.4489903,37.7975531
6973,-122.4526121,37.7992156,-122.4535622,37.7987656
6974,-122.4526121,37.7992156,-122.4513983,37.7978393
6975,-122.4545588,37.8008695,-122.4564124,37.7983594
6976,-122.4545588,37.8008695,-122.4541532,37.8006962
6977,-122.4551568,37.8011228,-122.4559735,37.7999905
6978,-122.4561941,37.8015754,-122.456705,37.801727
6979,-122.4561941,37.8015754,-122.4574966,37.7998176
6980,-122.456705,37.801727,-122.4576956,37.8019604
6981,-122.456705,37.801727,-122.4579046,37.8000164
