lon,lat,v
113.5298347,22.18785593,1.05552201
113.5298347,22.18813032,1.129658718
113.5298347,22.18840471,1.182011234
113.5298347,22.1886791,1.212580259
113.5298347,22.18895349,1.221366494
113.5298347,22.18922788,1.208368536
113.5298347,22.18950227,1.173587087
113.5298347,22.18977666,1.159343139
113.5298347,22.19005105,1.140119844
113.5298347,22.19032543,1.090663327
113.5298347,22.19059982,1.004899821
113.5300928,22.18730716,1.13265401
113.5300928,22.18758154,1.250357
113.5300928,22.18785593,1.346276849
113.5300928,22.18813032,1.420413908
113.5300928,22.18840471,1.472766073
113.5300928,22.1886791,1.503335098
113.5300928,22.18895349,1.512121684
113.5300928,22.18922788,1.64206317
113.5300928,22.18950227,1.747610266
113.5300928,22.18977666,1.805958276
113.5300928,22.19005105,1.817110711
113.5300928,22.19032543,1.781063359
113.5300928,22.19059982,1.697820431
113.5300928,22.19087421,1.56737912
113.5300928,22.1911486,1.389739425
113.5300928,22.19142299,1.164903453
113.5303509,22.18675838,1.131705256
113.5303509,22.18703277,1.275235047
113.5303509,22.18730716,1.404137515
113.5303509,22.18758154,1.521840505
113.5303509,22.18785593,1.617760354
113.5303509,22.18813032,1.691897414
113.5303509,22.18840471,1.763293469
113.5303509,22.1886791,1.951558141
113.5303509,22.18895349,2.151501301
113.5303509,22.18922788,2.304246078
113.5303509,22.18950227,2.409793174
113.5303509,22.18977666,2.468141185
113.5303509,22.19005105,2.479293619
113.5303509,22.19032543,2.443246267
113.5303509,22.19059982,2.360003339
113.5303509,22.19087421,2.229562028
113.5303509,22.1911486,2.051922334
113.5303509,22.19142299,1.827086361
113.5303509,22.19169738,1.555049901
113.5303509,22.19197177,1.235818566
113.530609,22.1862096,1.077879479
113.530609,22.18648399,1.27223765
113.530609,22.18675838,1.441182684
113.530609,22.18703277,1.584712475
113.530609,22.18730716,1.702829129
113.530609,22.18758154,1.79553089
113.530609,22.18785593,1.869972876
113.530609,22.18813032,2.082533139
113.530609,22.18840471,2.381444334
113.530609,22.1886791,2.647982819
113.530609,22.18895349,2.860062926
113.530609,22.18922788,3.017685358
113.530609,22.18950227,3.120847308
113.530609,22.18977666,3.169765227
113.530609,22.19005105,3.17149637
113.530609,22.19032543,3.115139139
113.530609,22.19059982,3.000692831
113.530609,22.19087421,2.858371459
113.530609,22.1911486,2.673697023
113.530609,22.19142299,2.447514829
113.530609,22.19169738,2.175478369
113.530609,22.19197177,1.856247034
113.530609,22.19224616,1.489815913
113.530609,22.19252055,1.123470866
113.5308671,22.18593521,1.145101089
113.5308671,22.1862096,1.36487345
113.5308671,22.18648399,1.559231622
113.5308671,22.18675838,1.728176655
113.5308671,22.18703277,1.871706446
113.5308671,22.18730716,2.012549295
113.5308671,22.18758154,2.187743409
113.5308671,22.18785593,2.43634836
113.5308671,22.18813032,2.770094335
113.5308671,22.18840471,3.076455805
113.5308671,22.1886791,3.34299429
113.5308671,22.18895349,3.571033234
113.5308671,22.18922788,3.74703371
113.5308671,22.18950227,3.864945111
113.5308671,22.18977666,3.924766733
113.5308671,22.19005105,3.932022138
113.5308671,22.19032543,3.889757547
113.5308671,22.19059982,3.785773182
113.5308671,22.19087421,3.625653651
113.5308671,22.1911486,3.411821349
113.5308671,22.19142299,3.145681498
113.5308671,22.19169738,2.866670966
113.5308671,22.19197177,2.546116889
113.5308671,22.19224616,2.166952035
113.5308671,22.19252055,1.748147346
113.5308671,22.19279493,1.360669332
